"WikiPlantaID"	"COL_NOTDECENVIR"	"FLO_NOTDEFLO"	"COL_VIRIGUA"	"COL_TIPDEAMO"	"HAB_HAB"	"FRU_NOTDEFRU"	"COL_AMO"	"COL_AMO_UNIT"	"COL_FER"	"COL_NOT"	"HAB_DAP"	"HAB_DAP_UNIT"	"COL_DAP"	"COL_DAP_UNIT"	"COL_ABU"	"IMA_FOLFACABA"	"IMA_EXS"	"IMA_FOLFACADA"
"3428"	"co"	"Algumas flores foram coletadas do chão. Coloração dos estames rosados e roxo."		"folhas em sílica"	"árvore"	"Presença de infrutescência em processo de maturação. Coloração verde a marrom escuro"	"7"	"número"	"flores; frutos"	"Indivíduos presentes principalmente das campinaranas florestadas de alto porte, ocorrendo também em áreas inundáveis. Tronco com ritidoma escuro e bem fissurado."
"3526"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta comum no sub-bosque das campinaranas inundáveis."
"3562"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta comum nas campinaranas sobre solos um pouco mais argiloso nas campinaranas florestadas e inundáveis."
"3582"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta de abundância rara nas campinaranas florestadas  e inundáveis."
"3599"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta muito comum principalmente em campinaranas florestadas e inundáveis sobre solos extremamente arenosos."
"3677"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com alta abundância nas campinaranas florestadas e inundáveis. Muito similar ao morfotipo P. trifoliolatum."
"3697"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas podendo chegar ao dossel florestal."
"3700"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta comum de campinaranas florestadas e inundáveis podendo alcançar o dossel florestal."

"3931"	"co"				"árvore"	"Presença de frutos imaturos de coloração amarelada a bege."	"1"	"número"	"frutos"	"Espécie comum nas campinaranas florestadas, com alta densidade de indivíduos arbóreos, principalmente no estrato emergente."
"3997"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta pouco comum nas campinaranas florestadas e ocorre principalmente nas áreas sobre solos pouco mais argilosos."
"4011"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara entre as campinaranas estudadas no PARNA Viruá."
"4111"	"co"	"Presença de inflorescência jovem e com coloração escura."			"árvore"		"3"	"número"	"flores"	"Alta densidade de indivíduos no sub-bosque das campinaranas florestadas."
"4185"	"co"			"folhas em sílica"	"árvore"	"Presença de frutos imaturos verdes."	"1"	"número"	"frutos"	"Indivíduo com baixa densidade na parcela de campinarana florestada inundável."
"4250"	"co"				"árvore"	"Frutos amarelados ou beges com uma textura venosa."	"2"	"número"	"frutos"	"Indivíduo muito comum nas campinaranas florestadas e inundáveis, principalmente no estrato emergente."
"4339"	"co"				"árvore"		"2"	"número"	"estéril"	"rvore comum nas áreas de campinarana alagável. Tronco com base irregular e acanalado ao longo de seu comprimento."
"4388"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas estudadas. Ocorre principalmente nas campinaranas florestadas."
"4408"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta comum nas campinaranas florestadas e inundáveis da grade PPBio/PARNA Viruá. Ritidoma levemente fissurado e coloraçao da casca-viva amarelada. Presença de envira."
"4419"	"co"				"árvore"		"2"	"número"	"estéril"	"Espécie muito comum nas campinaranas florestadas e inundáveis com o ritidoma acinzentada e fissurado. Presença de envira nos tronco."
"4423"	"co"	"Presença de botões florais imaturos de coloração alva."			"árvore"		"1"	"número"	"flores"	"Planta comum no sub-bosque das campinaranas inundáveis."
"4425"	"co"				"árvore"	"Frutos imaturos com coloração verde."	"7"	"número"	"frutos"	"Alta densidade de indivíduos no sub-bosque nas campinaranas inundáveis. Podem alcançar o dossel florestal."
"4428"	"co"	"Presença de flores tubulosas de coloração alva."			"árvore"		"2"	"número"	"flores"	"Arvoreta muito comum no sub-bosque das campinaranas florestadas inundáveis."
"4450"	"co"	"Presença de flores em estado de maturação e coloração branca  esverdeada."		"folhas em sílica"	"árvore"		"1"	"número"	"flores"	"Indivíduo parece muito com Duroia nitida poré o tronco difere quanto a intensidade de fissuras. A folha sugere ser outra espécie."
"4464"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com alta abundância nas campinaranas florestadas e inundáveis ocorrendo no estrato emergente do dossel. Ritidoma liso e levemente rugoso com alta densidade de lenticelas. Casca-viva com coloraçao rosada e branca."
"4466"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas estudadas. Folha muito parecida com E. citrifolia, porém maior densidade de pelos (tricomas)."
"4479"	"co"				"árvore"		"2"	"número"	"estéril"	"Planta com abundância rara nas campinaranas do Parna Viruá."
"4499"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta muito comum principalmente nas campinaranas florestadas e inundáveis. Alta densidade de árvores emergentes. Tronco liso e levemente rugoso, com alta densidade de lenticelas e coloração acinzentada. Casca viva branca-rosada e madeira muito dura."
"4624"	"co"				"árvore"	"Presença de frutos imaturos com coloração verde."	"2"	"número"	"frutos"	"Alta densidade de indivíduos no sub-bosque nas campinaranas inundáveis. Podem alcançar o dossel florestal."
"4669"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo típico de sub-bosque. Arvoreta escandente."
"4672"	"co"			"folhas em sílica"	"árvore"	"Presença de frutos imaturos de coloração esverdeada."	"1"	"número"	"frutos"	"Planta com densidade rara entre as campinaranas estudadas."
"4673"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta comum no sub-bosque de campinaranas florestadas e transições com florestas de igapó. Ritidoma liso e acinzentado com odor forte e característico."
"4675"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Presença de infrutescência sem frutos. Indivífuo muito comum nas campinaranas floresradas e inundáveis, ocorrendo no estrato emergente do dosse. Ritidoma amarronzado e bem fissurado. Entre casca avermelhada e casca viva alva-crème."
"4683"	"co"	"Incínio do período de floração. Flores axilares nos ramos. Coloração branco amarelado."		"folhas em sílica"	"árvore"		"4"	"número"	"flores"	"Indivíduo pouco comum no estrato arbóreo das campinaranas florestadas inundáveis."
"4701"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Tronco acanalado, casca viva amarelada e amargosa. Carapanaúba (nome popular)."
"4725"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com densidade mediana nas campinaranas florestadas e inundáveis da grade PPBio."
"4737"	"co"		"29303"		"árvore"	"Presença do frutos em estado de maturação. Coloração amarronzada escura."	"1"	"número"	"frutos"	"Indivífuo muito comum nas campinaranas floresradas e inundáveis, ocorrendo no estrato emergente do dosse. Ritidoma amarronzado e bem fissurado. Entre casca avermelhada e casca viva alva-crème."
"4763"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo presente principalmente no sub-bosque das campinaranas inundáveis do PARNA Viruá."
"4786"	"co"				"árvore"		"2"	"número"	"estéril"	"rvore comum principalmente nas fisionomias de campinarana florestada. Altura aproximada de 8 metros."
"4790"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo pouco comum entre as campinaranas florestadas estudadas."
"4804"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo comum nas campinaranas florestadas, principalmente no estrato emergente."
"4824"	"co"	"Presença de inflorescência jovem com botões florais  de coloração amarelada."			"árvore"	"Frutos imaturos com coloração esverdeada"	"5"	"número"	"flores; frutos"
"4831"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Indivíduo arbóreo comum nas campinaranas florestadas inundáveis. Ritidoma com coloração marrom escuro bem fissurado. Casa-viva cor creme e entre-casa avermelhada. Látex presente."

"4876"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Planta com abundância rara nas campinaranas florestadas estudadas."
"4879"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Espécie muito rara nas campinaranas estudadas."
"4906"	"co"	"Presença de inflorescência jovem com botões florais imaturos de coloração amarelada."		"folhas em sílica"	"árvore"		"4"	"número"	"flores"	"Espécie muito comum no sub-bosque de campinaranas florestadas e inundáveis."
"4928"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"rvore comum principalmente no estrato emergente das campinaranas florestadas."
"4942"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta pouco comum nas campinaranas florestadas do Parna Viruá. Pode alcançar os estrato emergente do dossel."
"4965"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta pouco comum e encontra principalmente no sub-bosque de campinaranas florestadas e inundáveis."
"5001"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta muito comum, principalmente nas campinaranas florestadas e inundáveis, podendo ocorrem em solos extremamente arenosos."
"5036"	"co"	"Botões floreais imaturos com flores ainda não abertas. Coloração branca amarelada."			"árvore"	"Presença de frutos imaturos verdes."	"3"	"número"	"flores; frutos"	"Indivíduo comum no sub-bosque de campinaranas florestadas."
"5057"	"co"				"árvore"	"Presença de frutos com coloração verde clara. Frutos em estado de maturação."	"3"	"número"	"frutos"	"Indivíduo comum nas áreas de campinarana florestada inundável. Presente principalmente no sub-bosque, porém alguns indivíduos chegam no estrato dominante do dossel."
"5068"	"co"		"29745"	"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Indivíduo arbóreo comum nas campinaranas florestadas inundáveis. Ritidoma com coloração marrom escuro bem fissurado. Casa-viva cor creme e entre-casa avermelhada. Látex presente."
"5073"	"co"			"folhas em sílica"	"árvore"	"Presença de botões com frutos em estado de maturação. Coloração esverdeada."	"1"	"número"	"frutos"	"Planta muito comum nas campinaranas florestadas e inundáveis. Exsudato presente, latex core de café-com-leite."
"5093"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta nao muito comum nas campinaranas estudadas. Presente pricipalmente nas áreas florestadas e alagáveis."
"5114"	"co"			"folhas em sílica"	"árvore"	"Frutos imaturos de coloração verde amarronzado."	"5"	"número"	"frutos"	"Espécie comum nas campinaranas florestadas, com alta densidade de indivíduos arbóreos, principalmente no estrato dominante do dossel."
"5132"	"co"			"folhas em sílica"	"árvore"		"3"	"número"	"estéril"	"Espécie rara nas Campinaranas inundáveis amostradas. Encontrada principalmente no sub-bosque deste ambiente."
"5169"	"co"			"folhas em sílica"	"árvore"		"2"	"número"	"estéril"	"Planta com abundancia rara presente principalmente nas campinaranas florestadas e inundáveis."
"5175"	"co"		"29858"		"árvore"		"2"	"número"	"estéril"	"Planta muito comum nas campinaranas florestadas, principalmente no estrato emergente. Cheiro adocicado no tronco, casca viva bem amarelada."
