"WikiPlantaID"	"TAG_NUM"	"Family"	"Genus"	"Species"	"LOCAL"	"PosX"	"PosY"	"DAPultimo"	"DAPpom"	"STATUS"	"OBS"
"17961"	"2126"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 13"	"0.4"	"45.8"	"40"	""	"Viva"	""
"17962"	"268"	"Burseraceae"	"Protium"	"Protium"	"Parcela 14"	"0.8"	"9.1"	"77"	""	"Viva"	""
"17963"	"130"	"Chrysobalanaceae"	"Licania"	"Licania"	"Parcela 14"	"0.3"	"11.2"	"71"	""	"Viva"	""
"17964"	"1809"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 14"	"0.8"	"18.1"	"77"	""	"Viva"	""
"17965"	"2246"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 14"	"0.5"	"44.7"	"25"	""	"Viva"	""
"17966"	"911"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 14"	"0"	"47.8"	"132"	""	"Viva"	""
"17967"	"354"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 14"	"0.3"	"48.8"	"93"	""	"Viva"	""
"17968"	"1746"	"Sapotaceae"	"Ecclinusa"	"Ecclinusa"	"Parcela 14"	"0.7"	"50"	"115"	""	"Viva"	""
"17969"	"1579"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 15"	"0"	"3.3"	"149"	""	"Viva"	""
"17970"	"1691"	"Elaeocarpaceae"	"Sloanea"	"Sloanea"	"Parcela 15"	"0.1"	"4.1"	"59"	""	"Viva"	""
"17971"	"1917"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 15"	"1"	"7.9"	"30"	""	"Viva"	""
"17972"	"2413"	"Sapindaceae"	""	"Sapindaceae"	"Parcela 15"	"0.5"	"9.3"	"83"	""	"Viva"	""
"17973"	"1607"	"Humiriaceae"	"Sacoglottis"	"Sacoglottis"	"Parcela 15"	"0.4"	"12.3"	"53"	""	"Viva"	""
"17974"	"2091"	"Fabaceae"	"Swartzia"	"Swartzia"	"Parcela 15"	"0.4"	"12.3"	"40"	""	"Viva"	""
"17975"	"1561"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 15"	"0.4"	"13"	"35"	""	"Viva"	""
"17976"	"2399"	"Burseraceae"	"Protium"	"Protium"	"Parcela 15"	"0.7"	"19.8"	"84"	""	"Viva"	""
"17977"	"1296"	"Myristicaceae"	"Iryanthera"	"Iryanthera"	"Parcela 15"	"0.8"	"31.1"	"95"	""	"Viva"	""
"17978"	"2167"	"Myrsinaceae"	"Cybianthus"	"Cybianthus"	"Parcela 15"	"0.4"	"35.9"	"78"	""	"Viva"	""
"17979"	"2118"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 15"	"0.2"	"36.6"	"74"	""	"Viva"	""
"17980"	"2002"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 16"	"0.6"	"2.6"	"65"	""	"Viva"	""
"17981"	"472"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 16"	"0.7"	"6.2"	"38"	""	"Viva"	""
"17982"	"1310"	"Sapotaceae"	"Ecclinusa"	"Ecclinusa"	"Parcela 16"	"0.3"	"12.1"	"72"	""	"Viva"	""
"17983"	"669"	"Pentaphylacaceae"	"Ternstroemia"	"Ternstroemia"	"Parcela 16"	"0.6"	"22.7"	"32"	""	"Viva"	""
"17984"	"2363"	"Clusiaceae"	""	"Clusiaceae"	"Parcela 16"	"0.1"	"41.9"	"33"	""	"Viva"	""
"17985"	"996"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 16"	"0.3"	"43.3"	"54"	""	"Viva"	""
"17986"	"1542"	"Myristicaceae"	"Iryanthera"	"Iryanthera"	"Parcela 16"	"0.2"	"44.8"	"43"	""	"Viva"	""
"17987"	"2218"	"Humiriaceae"	""	"Humiriaceae"	"Parcela 16"	"0.2"	"44.3"	"50"	""	"Viva"	""
"17988"	"2566"	"Fabaceae"	"Macrolobium"	"Macrolobium"	"Parcela 16"	"0.7"	"47.6"	"41"	""	"Viva"	""
"17989"	"2095"	"Fabaceae"	"Andira"	"Andira micrantha"	"Parcela 16"	"0.2"	"48"	"57"	""	"Viva"	""
"17990"	"56"	"Humiriaceae"	""	"Humiriaceae"	"Parcela 16"	"0"	"48.1"	"57"	""	"Viva"	""
"17991"	"1616"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 17"	"0.8"	"13.7"	"28"	""	"Viva"	""
"17992"	"1533"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 17"	"0.2"	"40.6"	"53"	""	"Viva"	""
"17993"	"1452"	"Linaceae"	"Roucheria"	"Roucheria"	"Parcela 17"	"0"	"42"	"42"	""	"Viva"	""
"17994"	"2188"	"Myristicaceae"	""	"Myristicaceae"	"Parcela 17"	"0.3"	"47.8"	"25"	""	"Viva"	""
"17995"	"273"	"Burseraceae"	"Protium"	"Protium"	"Parcela 18"	"0.5"	"0"	"82"	""	"Viva"	""
"17996"	"2334"	"Rubiaceae"	"Pagamea"	"Pagamea"	"Parcela 18"	"0.2"	"10"	"32"	""	"Viva"	""
"17997"	"400"	"Ochnaceae"	"Ouratea"	"Ouratea"	"Parcela 18"	"0.3"	"11.2"	"56"	""	"Viva"	""
"17998"	"1195"	""	""	""	"Parcela 18"	"0.3"	"12.8"	"99"	""	"Viva"	""
"17999"	"173"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 18"	"0.8"	"15.2"	"45"	""	"Viva"	""
"18000"	"46"	"Fabaceae"	"Aldina"	"Aldina heterophylla"	"Parcela 18"	"0.6"	"15"	"79"	""	"Viva"	""
"18001"	"1190"	"Rubiaceae"	""	"Rubiaceae"	"Parcela 18"	"0.6"	"15"	"45"	""	"Viva"	""
"18002"	"2207"	"Myrtaceae"	""	"Myrtaceae"	"Parcela 18"	"0.8"	"19.7"	"57"	""	"Viva"	""
"18003"	"184"	"Lecythidaceae"	"Eschweilera"	"Eschweilera"	"Parcela 18"	"0.3"	"25.8"	"32"	""	"Viva"	""
"18004"	"371"	"Apocynaceae"	"Aspidosperma"	"Aspidosperma"	"Parcela 18"	"0.2"	"27.7"	"49"	""	"Viva"	""
"18005"	"2123"	"Malvaceae"	"Catostemma"	"Catostemma"	"Parcela 18"	"0.5"	"35"	"72"	""	"Viva"	""
"18006"	"1999"	"Clusiaceae"	"Caraipa"	"Caraipa"	"Parcela 18"	"0.2"	"35.6"	"47"	""	"Viva"	""
"18007"	"212"	"Malvaceae"	"Pachira"	"Pachira"	"Parcela 18"	"0.2"	"35.4"	"67"	""	"Viva"	""
"18008"	"555"	"Apocynaceae"	"Tabernaemontana"	"Tabernaemontana"	"Parcela 18"	"0.8"	"40.6"	"75"	""	"Viva"	""
"18009"	"908"	"Apocynaceae"	""	"Apocynaceae"	"Parcela 18"	"0.3"	"48.7"	"72"	""	"Viva"	""
"18010"	"2146"	"Sapotaceae"	""	"Sapotaceae"	"Parcela 18"	"0.5"	"48.4"	"52"	""	"Viva"	""
"18011"	"2187"	"Burseraceae"	"Protium"	"Protium"	"Parcela 19"	"0"	"2.9"	"33"	""	"Viva"	""
"18012"	"2107"	"Arecaceae"	"Euterpe"	"Euterpe catinga"	"Parcela 19"	"0.1"	"7"	"62"	""	"Viva"	""
"18013"	"1998"	"Apocynaceae"	"Tabernaemontana"	"Tabernaemontana"	"Parcela 19"	"0.7"	"8.1"	"46"	""	"Viva"	""
